# Rucni usudek nad priority_ideas.csv. Joinuje se pres row_id.
# Nic tady neni v PDF -- je to rozhodnuti cloveka, ktere lze prepsat, kdyz se
# ukaze spatne. Proto je to zvlast od doslovneho prepisu.
#
# instrument   LONG_EQUITY | SHORT_EQUITY | ETF_HEDGE | OPTION | BASKET
# exit_kind    DECISION | BATCH | STILL_OPEN | DELISTED | ACQUIRED | UNKNOWN
#              BATCH = uzavreno v den, kdy se zaviralo 4+ nesouvisejicich jmen.
#              Je to tvrzeni o DATU, ne o duvodu -- radek muze byt BATCH a pritom
#              nest vlastni stanoveny duvod (napr. 218, 223 dne 2025-01-03).
# exit_reason  RR_PRAVIDLO | ALERT | TEZE_SE_ZLOMILA | GRADUACE | AKVIZICE |
#              WAIT_TIME | ZTRATA_ZAJMU | UKLID | UNKNOWN
#              Kodovano JEN tam, kde poznamka vystup verohodne popisuje.
#              LATEST NOTES je posledni poznamka, ne poznamka pri vystupu --
#              nekolik radku nese komentar datovany roky po uzavreni.
#              Prazdne = radek nema vystup (STILL_OPEN).
# duplicate_of row_id radku, ktery tenhle duplikuje. Prazdne = neni duplikat.
row_id,ticker,instrument,exit_kind,exit_reason,duplicate_of,label_note
33,CALL,SHORT_EQUITY,BATCH,UNKNOWN,,
34,BKS,SHORT_EQUITY,BATCH,UNKNOWN,,
35,ZAGG,SHORT_EQUITY,DECISION,UNKNOWN,,
36,SWI,LONG_EQUITY,BATCH,UNKNOWN,,
37,RKNEF,LONG_EQUITY,DECISION,UNKNOWN,,
38,QLIK,LONG_EQUITY,BATCH,UNKNOWN,,
39,IBM,SHORT_EQUITY,BATCH,UNKNOWN,,
40,STKS,LONG_EQUITY,BATCH,UNKNOWN,,
41,VRNS,LONG_EQUITY,BATCH,UNKNOWN,,
42,TIVO,LONG_EQUITY,BATCH,UNKNOWN,,
43,VMW,SHORT_EQUITY,DECISION,UNKNOWN,,
44,HUBS,LONG_EQUITY,DECISION,UNKNOWN,,
45,MKTO,SHORT_EQUITY,DECISION,UNKNOWN,,
46,OSTK,SHORT_EQUITY,BATCH,UNKNOWN,,
47,DNKN,SHORT_EQUITY,BATCH,UNKNOWN,,
48,BGS,SHORT_EQUITY,BATCH,UNKNOWN,,
49,DMRC,LONG_EQUITY,BATCH,UNKNOWN,,
50,RHT,LONG_EQUITY,BATCH,UNKNOWN,,
51,CRM,LONG_EQUITY,BATCH,UNKNOWN,,
52,ORCL,SHORT_EQUITY,BATCH,UNKNOWN,,
53,RSYS,LONG_EQUITY,BATCH,UNKNOWN,,
54,CALM,LONG_EQUITY,BATCH,UNKNOWN,,
55,PERF,SHORT_EQUITY,BATCH,UNKNOWN,,
56,GLD,OPTION,DECISION,UNKNOWN,,"zari 110 calls, ne akcie"
57,FB,LONG_EQUITY,DECISION,UNKNOWN,,
58,XXII,LONG_EQUITY,DECISION,UNKNOWN,,
59,NEWR,LONG_EQUITY,DECISION,UNKNOWN,,
60,HUBS,LONG_EQUITY,BATCH,UNKNOWN,,
61,RDCM,LONG_EQUITY,BATCH,UNKNOWN,,
62,FIT,LONG_EQUITY,BATCH,UNKNOWN,,
63,EMC,LONG_EQUITY,BATCH,UNKNOWN,,
64,HIVE,LONG_EQUITY,DECISION,UNKNOWN,,
65,IBM,SHORT_EQUITY,DECISION,UNKNOWN,,
66,MLNX,LONG_EQUITY,BATCH,UNKNOWN,,
67,PRO,LONG_EQUITY,DECISION,UNKNOWN,,
68,SH,ETF_HEDGE,BATCH,UNKNOWN,,"inverzni S&P ETF -- hedge, ne firma"
69,RWM,ETF_HEDGE,BATCH,UNKNOWN,,"inverzni Russell 2000 ETF -- hedge"
70,XBI,ETF_HEDGE,BATCH,UNKNOWN,,"sektorovy ETF shortovany, ne firma"
71,TEDU,SHORT_EQUITY,BATCH,UNKNOWN,,
72,CSCO,SHORT_EQUITY,BATCH,UNKNOWN,,
73,FL,SHORT_EQUITY,BATCH,UNKNOWN,,
74,APOG,SHORT_EQUITY,BATCH,UNKNOWN,,
75,VIPS,SHORT_EQUITY,BATCH,UNKNOWN,,
76,MIDD,SHORT_EQUITY,BATCH,UNKNOWN,,
77,BRCD,SHORT_EQUITY,BATCH,UNKNOWN,,
78,MFIN,SHORT_EQUITY,DECISION,UNKNOWN,,
79,NXPI,SHORT_EQUITY,BATCH,UNKNOWN,,
80,BETR,SHORT_EQUITY,DECISION,UNKNOWN,,
81,POST,SHORT_EQUITY,DECISION,UNKNOWN,,
82,GT,SHORT_EQUITY,BATCH,UNKNOWN,,
83,SHOP,SHORT_EQUITY,DECISION,UNKNOWN,,
84,GIMO,SHORT_EQUITY,DECISION,UNKNOWN,,
85,MLNX,LONG_EQUITY,DECISION,UNKNOWN,,
86,MRIN,LONG_EQUITY,DECISION,UKLID,,"2017-09-19: starsi ze dvou zaznamu MRIN; ten druhy (radek 92) zustal otevreny. Viz radek 4."
87,ANGI,SHORT_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
88,RSYS,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
89,GSAT,OPTION,DECISION,UNKNOWN,,"psane puty (Write), ne akcie"
90,CALM,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,,"pauza, ne rozbita teze -- chce se vratit"
91,MRNA,LONG_EQUITY,DECISION,RR_PRAVIDLO,,"POZOR: MRNA byla v roce 2017 Marina Biotech; ticker pozdeji prevzala Moderna"
92,MRIN,LONG_EQUITY,DECISION,UKLID,,
93,HDSN,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
94,HDSN,LONG_EQUITY,DECISION,UKLID,,
95,HIVE,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,,
96,NBEV,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
97,PXLW,SHORT_EQUITY,DECISION,ZTRATA_ZAJMU,,
98,MATR,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,"2017-09-19: nese vlastni stanoveny duvod, tedy rozhodnuti, ne uklid"
99,SSNI,LONG_EQUITY,ACQUIRED,AKVIZICE,,
100,USAT,LONG_EQUITY,DECISION,UKLID,,"2017-09-19: poznamka rika doslova ""Closing the double bookmark"" -- vlastni duvod"
101,RSYS,LONG_EQUITY,DECISION,UKLID,,
102,USAT,LONG_EQUITY,DECISION,UKLID,,"presun zajmu na preferencni akcii USATP"
103,RDCM,LONG_EQUITY,DECISION,UNKNOWN,,
104,HDSN,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
105,VUZI,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
106,HMNY,LONG_EQUITY,DECISION,UKLID,,"2017-09-19: poznamka rika doslova ""Closing the double bookmark"". Viz radek 4."
107,HMNY,LONG_EQUITY,BATCH,RR_PRAVIDLO,,"+895 % za 23 dni; zavreno v den hromadne uzaverky"
108,PLSE,SHORT_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
109,AEHR,LONG_EQUITY,DECISION,UNKNOWN,,
110,TCMD,SHORT_EQUITY,DECISION,RR_PRAVIDLO,,
111,SMSI,LONG_EQUITY,BATCH,ZTRATA_ZAJMU,,
112,AEHR,LONG_EQUITY,DECISION,UNKNOWN,,
113,XXII,LONG_EQUITY,DECISION,UNKNOWN,,
114,HMNY,LONG_EQUITY,DECISION,UNKNOWN,,
115,HMNY,LONG_EQUITY,DECISION,UKLID,,
116,GAIA,LONG_EQUITY,DECISION,UNKNOWN,,
117,SMSI,LONG_EQUITY,DECISION,UKLID,,
118,HMNY,SHORT_EQUITY,DECISION,UNKNOWN,,
119,SMSI,LONG_EQUITY,DECISION,UNKNOWN,,
120,SMSI,LONG_EQUITY,DECISION,UNKNOWN,,"zavren v den, kdy padl brezen 2019 shortovy kos, ale je to long"
121,HMNY,SHORT_EQUITY,DECISION,UNKNOWN,,
122,HEAR,OPTION,DECISION,UNKNOWN,,"psane lednove puty; vstupni cena je prumer ROI na tech putech"
123,TPCS,LONG_EQUITY,BATCH,UNKNOWN,,"covidovy propad, 2020-03-11 zavreno vse najednou"
124,MRIN,LONG_EQUITY,DECISION,UNKNOWN,,
125,USAT,LONG_EQUITY,DECISION,UNKNOWN,,
126,RKDA,SHORT_EQUITY,BATCH,UNKNOWN,,"brezen 2019 shortovy kos"
127,KR,SHORT_EQUITY,DECISION,UNKNOWN,,
128,CIFS,SHORT_EQUITY,BATCH,UNKNOWN,,
129,KNDI,SHORT_EQUITY,BATCH,UNKNOWN,,
130,FUV,SHORT_EQUITY,DECISION,UNKNOWN,,
131,BOXL,SHORT_EQUITY,DECISION,UNKNOWN,,
132,BPTH,SHORT_EQUITY,DECISION,UNKNOWN,,
133,USAT,OPTION,DECISION,RR_PRAVIDLO,,"psane puty; vyprsely bezcenne = 100% zisk"
134,NBEV,SHORT_EQUITY,DECISION,UNKNOWN,,
135,BPTH,SHORT_EQUITY,BATCH,UNKNOWN,,
136,GAIA,LONG_EQUITY,DECISION,UNKNOWN,,
137,SOLO,LONG_EQUITY,DECISION,UNKNOWN,,"hedge k shortu FUV, ne samostatna teze"
138,ATAI,SHORT_EQUITY,DECISION,UNKNOWN,,
139,SOLY,SHORT_EQUITY,DECISION,UNKNOWN,,
140,BYND,SHORT_EQUITY,DECISION,UNKNOWN,,
141,HYRE,LONG_EQUITY,DECISION,UNKNOWN,,
142,ZYXI,LONG_EQUITY,BATCH,UNKNOWN,,
143,SMSI,LONG_EQUITY,BATCH,UNKNOWN,,
144,USAT,LONG_EQUITY,DECISION,UNKNOWN,,
145,NBEV,SHORT_EQUITY,DECISION,UNKNOWN,,
146,TAST,LONG_EQUITY,DECISION,UNKNOWN,,
147,SES,SHORT_EQUITY,DECISION,UNKNOWN,,
148,TPCS,LONG_EQUITY,DECISION,UNKNOWN,,
149,ZYXI,LONG_EQUITY,BATCH,UNKNOWN,,
150,BNGO,SHORT_EQUITY,DECISION,UNKNOWN,,
151,ZYXI,LONG_EQUITY,DECISION,UNKNOWN,,
152,SMSI,LONG_EQUITY,BATCH,UNKNOWN,,
153,NNVC,SHORT_EQUITY,DECISION,RR_PRAVIDLO,,
154,RWM,ETF_HEDGE,DECISION,ALERT,,"doslovny zaznam zruseni ORANGE alertu"
155,RWM,ETF_HEDGE,DECISION,ALERT,,"doslovny zaznam prechodu na YELLOW alert"
156,SMSI,LONG_EQUITY,BATCH,UNKNOWN,186,"presny duplikat radku 186; v PDF stoji mimo chronologicke poradi"
157,NVAX,SHORT_EQUITY,DECISION,UNKNOWN,,
158,IBIO,SHORT_EQUITY,DECISION,UNKNOWN,,
159,IBIO,SHORT_EQUITY,DECISION,UNKNOWN,,
160,IMV,SHORT_EQUITY,DECISION,UNKNOWN,,"otevreno a zavreno tyz den"
161,IMAC,SHORT_EQUITY,DECISION,UNKNOWN,,
162,DPW,SHORT_EQUITY,DECISION,UNKNOWN,,
163,CALM,LONG_EQUITY,DECISION,UNKNOWN,,
164,RWM,ETF_HEDGE,DECISION,UNKNOWN,,
165,SNES,SHORT_EQUITY,DECISION,UNKNOWN,,
166,SAEX,SHORT_EQUITY,DECISION,UNKNOWN,,
167,APT,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
168,SUMR,LONG_EQUITY,DECISION,UNKNOWN,,
169,GSX,SHORT_EQUITY,DECISION,UNKNOWN,,
170,WTRH,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
171,WTRH,LONG_EQUITY,DECISION,UNKNOWN,,"zbytek po odebrani zisku na radku 170"
172,APVO,SHORT_EQUITY,DECISION,UNKNOWN,,
173,DTEA,LONG_EQUITY,DECISION,UNKNOWN,,
174,RWM,ETF_HEDGE,DECISION,UNKNOWN,,
175,VTSI,LONG_EQUITY,DECISION,RR_PRAVIDLO,,"zisky pri 9, zpet pri 5 -- viz radek 176"
176,VTSI,LONG_EQUITY,DECISION,RR_PRAVIDLO,,"navrat po odebrani zisku z radku 175"
177,VTSI,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
178,MOGO,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
179,MOGO,LONG_EQUITY,DECISION,ALERT,,
180,GME,SHORT_EQUITY,DECISION,UNKNOWN,,
181,AMC,SHORT_EQUITY,DECISION,UNKNOWN,,
182,TPCS,LONG_EQUITY,DECISION,UNKNOWN,,
183,GME,OPTION,DECISION,UNKNOWN,,"dubnovy 300 call"
184,DTEA,LONG_EQUITY,DECISION,UNKNOWN,,
185,IRIX,LONG_EQUITY,DECISION,ALERT,,
186,SMSI,LONG_EQUITY,BATCH,UNKNOWN,,
187,AEHR,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
188,AEHR,LONG_EQUITY,DECISION,UNKNOWN,,"navrat pri 13 po vystupu z radku 187"
189,GAIA,LONG_EQUITY,DECISION,UNKNOWN,,
190,VWTR,LONG_EQUITY,DECISION,UNKNOWN,,
191,IWM,ETF_HEDGE,DECISION,UNKNOWN,,
192,See Notes,BASKET,DECISION,UNKNOWN,,"kos shortu z brezna 2022, jednotlive tickery nejsou v listu"
193,XLY,ETF_HEDGE,DECISION,UNKNOWN,,
194,CELH,LONG_EQUITY,BATCH,UNKNOWN,,
195,CTLP,LONG_EQUITY,DECISION,UKLID,,
196,CTLP,LONG_EQUITY,DECISION,UNKNOWN,,
197,TPCS,LONG_EQUITY,DECISION,UKLID,,
198,CTLP,LONG_EQUITY,BATCH,UNKNOWN,,
199,CTLP,LONG_EQUITY,DECISION,UNKNOWN,,
200,PESI,LONG_EQUITY,DECISION,WAIT_TIME,,
201,SMSI,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
202,QIPT,LONG_EQUITY,BATCH,UNKNOWN,,
203,OSSIF,LONG_EQUITY,DECISION,UNKNOWN,,
204,ATGN,LONG_EQUITY,BATCH,UNKNOWN,,
205,NVDA,LONG_EQUITY,BATCH,UNKNOWN,,
206,TPCS,LONG_EQUITY,BATCH,UNKNOWN,,
207,IRIX,LONG_EQUITY,BATCH,UNKNOWN,,
208,VTSI,LONG_EQUITY,DECISION,UNKNOWN,,
209,SMCI,SHORT_EQUITY,DECISION,UNKNOWN,,
210,ATGN,LONG_EQUITY,BATCH,UNKNOWN,,
211,GKPRF,LONG_EQUITY,BATCH,UNKNOWN,,
212,ALAR,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,,
213,VTSI,LONG_EQUITY,STILL_OPEN,,,
214,QIPT,LONG_EQUITY,BATCH,UNKNOWN,,"poznamka o akvizici je z 15. 12. 2025, tedy skoro rok po uzavreni -- neni to duvod vystupu"
215,EVLV,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
216,GEODF,LONG_EQUITY,STILL_OPEN,,,
217,ALAR,LONG_EQUITY,DECISION,ZTRATA_ZAJMU,,
218,KRKNF,LONG_EQUITY,BATCH,RR_PRAVIDLO,,"vlastni stanoveny duvod, prestoze pada na hromadne datum"
219,TSSI,LONG_EQUITY,DECISION,RR_PRAVIDLO,,"nejvyslovnejsi zaznam R/R pravidla v celem listu"
220,CXDO,LONG_EQUITY,STILL_OPEN,,,
221,ITMSF,LONG_EQUITY,STILL_OPEN,,,
222,ECOR,LONG_EQUITY,DECISION,TEZE_SE_ZLOMILA,,
223,EVLV,LONG_EQUITY,BATCH,GRADUACE,,"vlastni stanoveny duvod, prestoze pada na hromadne datum"
224,GKPRF,LONG_EQUITY,STILL_OPEN,,,
225,TSSI,LONG_EQUITY,DECISION,UNKNOWN,,"poznamka je z 12. 8. 2026, rok po uzavreni, a popisuje jiny obchod"
226,IDN,LONG_EQUITY,DECISION,RR_PRAVIDLO,,
227,TPCS,LONG_EQUITY,STILL_OPEN,,,
228,IZEA,LONG_EQUITY,STILL_OPEN,,,
229,WATT,LONG_EQUITY,DECISION,UNKNOWN,,
230,RDCM,LONG_EQUITY,STILL_OPEN,,,
231,CVV,LONG_EQUITY,STILL_OPEN,,,
